baseline-timestamp,baseline-diameter_eye_0,baseline-diameter_eye_1,baseline-diameter_binocular,baseline-HR,baseline-RR,Nback_HL-timestamp,Nback_HL-diameter_eye_0,Nback_HL-diameter_eye_1,Nback_HL-diameter_binocular,Nback_HL-HR,Nback_HL-RR,Nback_LL-timestamp,Nback_LL-diameter_eye_0,Nback_LL-diameter_eye_1,Nback_LL-diameter_binocular,Nback_LL-HR,Nback_LL-RR,Nback_ML-timestamp,Nback_ML-diameter_eye_0,Nback_ML-diameter_eye_1,Nback_ML-diameter_binocular,Nback_ML-HR,Nback_ML-RR,VIS_HL-timestamp,VIS_HL-diameter_eye_0,VIS_HL-diameter_eye_1,VIS_HL-diameter_binocular,VIS_HL-HR,VIS_HL-RR,VIS_LL-timestamp,VIS_LL-diameter_eye_0,VIS_LL-diameter_eye_1,VIS_LL-diameter_binocular,VIS_LL-HR,VIS_LL-RR,VIS_ML-timestamp,VIS_ML-diameter_eye_0,VIS_ML-diameter_eye_1,VIS_ML-diameter_binocular,VIS_ML-HR,VIS_ML-RR
,,,,,,59.98,2.6721180940621543,0.13416946289148196,1.4031437784768181,,,50.3,,2.423806806979344,2.423806806979344,,,70.69,,6.9474351451611375e-06,6.9474351451611375e-06,,,39.22,3.247151562244757,2.3573483885225457,2.8022499753836514,,,41.96,3.3011624073586923,2.3890223297052584,2.8450923685319753,,,44.99,,2.1400182907511534,2.1400182907511534,,
,,,,,,59.99,,0.1265155404376791,0.1265155404376791,,,50.31,,2.3901325255315498,2.3901325255315498,,,70.74,,7.045105910781223e-06,7.045105910781223e-06,,,39.23,3.322192460398961,2.36230936551588,2.8422509129574207,,,41.97,3.189031010631433,,3.189031010631433,,,45.0,,2.1163851670286,2.1163851670286,58.0,1063.0
,,,,,,60.0,,,,61.0,979.0,50.32,4.782857996528706,2.4834944654146542,3.6331762309716797,,,70.76,,7.17825453466429e-06,7.17825453466429e-06,,,39.24,3.332370214990993,2.3601572529781647,2.846263733984579,,,41.98,3.1684023453119314,2.3642593740934177,2.7663308597026743,,,45.13,,1.9102118284722165,1.9102118284722165,,
,,,,,,60.49,,3.807690458840732,3.807690458840732,,,50.33,,2.4750951018613567,2.4750951018613567,,,70.77,,7.1855978460492705e-06,7.1855978460492705e-06,,,39.25,,2.372767956652751,2.372767956652751,,,41.99,3.162302898214869,2.4312419448595683,2.7967724215372187,,,45.14,2.342605678398444,,2.342605678398444,,
,,,,,,60.51,,4.08588046305069,4.08588046305069,,,50.34,,2.4906090819065367,2.4906090819065367,,,70.8,,7.181540486316156e-06,7.181540486316156e-06,,,39.26,3.3031947240337654,2.2869283043463517,2.7950615141900585,,,42.0,3.254528189892985,2.4233913700488507,2.838959779970918,61.0,1010.0,45.15,2.2710502154269574,,2.2710502154269574,,
,,,,,,60.52,3.013371865553117,,3.013371865553117,,,50.35,,2.3513671380755667,2.3513671380755667,,,70.84,,7.25116889635257e-06,7.25116889635257e-06,,,39.26,3.3031947240337654,2.3262941491269515,2.8147444365803587,,,42.0,3.150858513532257,2.4233913700488507,2.787124941790554,61.0,1010.0,45.16,2.4184542331552747,2.1970767005026905,2.3077654668289824,,
,,,,,,60.53,2.9928461723637887,4.187438438207267,3.5901423052855277,,,50.36,,2.5104692026129656,2.5104692026129656,,,70.85,,7.2827879521288755e-06,7.2827879521288755e-06,,,39.27,3.197353851353743,2.3124981471533244,2.7549259992535338,,,42.01,3.1445676660507083,2.401580942851917,2.7730743044513124,,,45.17,2.3796512485614203,2.2138630119491984,2.296757130255309,,
,,,,,,60.59,3.0585674752754004,,3.0585674752754004,,,50.36,,2.427937974846544,2.427937974846544,,,70.86,4.042696090038429,7.309089191508827e-06,2.02135169956381,,,39.28,3.177918279789829,2.305893671358488,2.7419059755741584,,,42.02,3.1616784890873086,2.398105644722549,2.779892066904929,,,45.18,2.36953981575272,,2.36953981575272,,
,,,,,,60.62,3.076771873092495,,3.076771873092495,,,50.37,,2.466626927846601,2.466626927846601,,,70.9,,7.404145788965906e-06,7.404145788965906e-06,,,39.28,3.2782524501205783,2.305893671358488,2.792073060739533,,,42.02,3.1616784890873086,2.4820189657627942,2.8218487274250514,,,45.18,2.361194643811328,,2.361194643811328,,
,,,,,,60.64,,3.9871248149603375,3.9871248149603375,,,50.38,,2.4617905361432264,2.4617905361432264,,,70.91,,7.308895792758008e-06,7.308895792758008e-06,,,39.29,3.2645643065662986,2.3382095409016985,2.8013869237339986,,,42.03,3.1868757520191013,,3.1868757520191013,,,45.19,2.373740360765155,2.1326840763350563,2.2532122185501056,,
,,,,,,60.66,3.4856180530101635,4.038277654628002,3.761947853819083,,,50.39,,2.442600927547113,2.442600927547113,,,70.92,,7.461978619263022e-06,7.461978619263022e-06,,,39.3,3.1927455255436805,2.3369596087685056,2.764852567156093,,,42.05,,2.5259398724778235,2.5259398724778235,,,45.2,2.4128288815495242,2.238906559341522,2.3258677204455234,,
,,,,,,60.67,3.5199758916831554,,3.5199758916831554,,,50.4,,2.4149230843294647,2.4149230843294647,,,70.93,,7.384376161971193e-06,7.384376161971193e-06,,,39.3,3.1927455255436805,2.327238375322667,2.759991950433174,,,42.06,,2.5224584658986156,2.5224584658986156,,,45.2,2.4128288815495242,2.1471869557407586,2.2800079186451416,,
,,,,,,60.68,,3.90661790099522,3.90661790099522,,,50.4,,2.4551047147902127,2.4551047147902127,,,70.94,,7.401834678312536e-06,7.401834678312536e-06,,,39.31,3.2712150879211666,2.2894925853728623,2.7803538366470146,,,42.06,,2.531696049461655,2.531696049461655,,,45.21,2.3508600822440946,2.1036544459662454,2.22725726410517,,
,,,,,,60.69,,3.97622128557802,3.97622128557802,,,50.41,,2.4584342301191024,2.4584342301191024,,,70.94,,7.667334103644083e-06,7.667334103644083e-06,,,39.32,3.30124513110623,2.279767155604267,2.7905061433552483,,,42.07,,2.4917147978953507,2.4917147978953507,,,45.22,2.3449265592745436,,2.3449265592745436,,
,,,,,,60.7,,3.9551463230126753,3.9551463230126753,,,50.42,,2.431327363275153,2.431327363275153,,,70.95,,7.485247941324813e-06,7.485247941324813e-06,,,39.32,3.2353143254096213,2.279767155604267,2.7575407405069443,,,42.08,,2.5686276853462355,2.5686276853462355,,,45.22,2.3412377502791633,,2.3412377502791633,,
,,,,,,60.71,,3.9255405105468397,3.9255405105468397,,,50.43,,2.423527096973886,2.423527096973886,,,70.96,,7.389512017445261e-06,7.389512017445261e-06,,,39.33,3.200166608522669,2.2740178193772302,2.73709221394995,,,42.09,,2.5666832628937533,2.5666832628937533,,,45.23,2.358350294378563,2.237846198262926,2.2980982463207447,,
,,,,,,60.72,,4.0468206619171365,4.0468206619171365,,,50.44,,2.4971340634543284,2.4971340634543284,,,70.97,,7.37414568211758e-06,7.37414568211758e-06,,,39.34,3.1974271359317648,2.3067322547788054,2.752079695355285,,,42.1,,2.627756114988621,2.627756114988621,,,45.24,2.3856836838767084,2.2717968088146536,2.328740246345681,,
,,,,,,60.73,,3.9558290725761385,3.9558290725761385,,,50.44,,2.462344373785036,2.462344373785036,,,70.98,,7.2397396595557556e-06,7.2397396595557556e-06,,,39.34,3.1974271359317648,2.2953903426144477,2.7464087392731065,,,42.1,,2.5176806947159704,2.5176806947159704,,,45.24,2.3856836838767084,2.231309463215944,2.308496573546326,,
,,,,,,60.74,,3.938307265746424,3.938307265746424,,,50.45,,2.5205378868485857,2.5205378868485857,,,70.98,,7.0901186128618665e-06,7.0901186128618665e-06,,,39.35,3.261802138201933,2.2322988507665698,2.7470504944842515,,,42.11,,2.572439850203536,2.572439850203536,,,45.25,2.385425456844253,2.256924405793016,2.3211749313186343,,
,,,,,,60.75,,3.9005290395162833,3.9005290395162833,,,50.46,,2.520373084797812,2.520373084797812,,,70.99,,7.247174516660187e-06,7.247174516660187e-06,,,39.36,3.1458221371242807,2.291843481195857,2.7188328091600686,,,42.12,,2.6052604488570115,2.6052604488570115,,,45.26,2.3744237993513195,2.25578350678963,2.3151036530704747,,
,,,,,,60.76,,3.9543827858164233,3.9543827858164233,,,50.48,,2.45037094977068,2.45037094977068,,,71.0,,,,62.0,956.0,39.36,3.1988672671623166,2.291843481195857,2.745355374179087,,,42.13,,2.57941336130179,2.57941336130179,,,45.27,2.374426259390655,2.220457487505624,2.2974418734481397,,
,,,,,,60.77,3.2926754896084,3.950307149402257,3.6214913195053287,,,50.49,,2.4543093100625075,2.4543093100625075,,,71.19,,3.5401418727752163,3.5401418727752163,,,39.37,3.156086792330887,2.308919141513381,2.7325029669221337,,,42.14,,2.5862484019490104,2.5862484019490104,,,45.28,2.3611529022390694,2.237582636727223,2.2993677694831463,,
,,,,,,60.78,3.3403282364106013,3.869189783043253,3.6047590097269273,,,50.5,,2.409251539604108,2.409251539604108,,,71.2,,3.68521553810366,3.68521553810366,,,39.38,3.148735619132275,2.222418636014161,2.685577127573218,,,42.14,,2.616622096040079,2.616622096040079,,,45.28,2.3611529022390694,2.2879027517954853,2.3245278270172776,,
,,,,,,60.8,3.334794379817936,3.9595722262768263,3.647183303047381,,,50.51,,2.4417258437545604,2.4417258437545604,,,71.2,,3.792120457523505,3.792120457523505,,,39.38,3.148735619132275,2.3178707291021348,2.733303174117205,,,42.15,,2.536470816197955,2.536470816197955,,,45.29,2.3573132533684857,2.2790646724369186,2.318188962902702,,
